Rooms,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Propertycount,lsuburb,ltype,lmethod
2,2.5,3067,2,1,0,156,79,1900,-37.8079,144.9934,4019,0,0,1
3,2.5,3067,3,2,0,134,150,1900,-37.8093,144.9944,4019,0,0,3
4,2.5,3067,3,1,2,120,142,2014,-37.8072,144.9941,4019,0,0,4
3,2.5,3067,4,2,0,245,210,1910,-37.8024,144.9993,4019,0,0,1
2,2.5,3067,2,1,2,256,107,1890,-37.806,144.9954,4019,0,0,1
2,2.5,3067,3,1,2,220,75,1900,-37.801,144.9989,4019,0,0,1
3,2.5,3067,3,2,2,214,190,2005,-37.8085,144.9964,4019,0,0,4
2,2.5,3067,2,2,1,0,94,2009,-37.8078,144.9965,4019,0,2,1
2,2.5,3067,2,1,2,238,97,1890,-37.809,144.9976,4019,0,0,1
3,2.5,3067,3,2,1,113,110,1880,-37.8056,144.993,4019,0,0,1
3,2.5,3067,2,1,1,138,105,1890,-37.8021,144.9965,4019,0,0,1
2,2.5,3067,2,1,1,150,73,1985,-37.8011,145.0004,4019,0,0,1
4,2.5,3067,4,2,2,780,135,1900,-37.8073,144.9952,4019,0,0,0
2,2.5,3067,2,1,1,0,60,1970,-37.8015,144.9972,4019,0,2,1
2,2.5,3067,2,2,1,124,135,2013,-37.8079,144.9977,4019,0,0,0
2,2.5,3067,2,1,0,147,85,1900,-37.808,144.994,4019,0,0,1
3,2.5,3067,3,3,1,166,174,2012,-37.8017,145.0001,4019,0,0,0
2,2.5,3067,2,2,2,98,128,1920,-37.8005,144.9952,4019,0,0,1
3,2.5,3067,3,1,1,168,124,1950,-37.8007,144.9958,4019,0,0,1
1,2.5,3067,1,1,1,0,50,2013,-37.8055,144.9961,4019,0,2,1
2,2.5,3067,2,1,0,162,91,1900,-37.8016,144.9956,4019,0,0,1
3,2.5,3067,3,2,1,120,128,1998,-37.8022,144.9954,4019,0,0,3
2,2.5,3067,2,1,0,182,82,1900,-37.8021,144.9976,4019,0,0,1
2,2.5,3067,2,1,1,172,81,1930,-37.8086,144.9946,4019,0,0,1
3,13.5,3042,3,2,1,303,225,2016,-37.718,144.878,3464,2,1,0
3,13.5,3042,3,2,1,0,145,1965,-37.7203,144.8755,3464,2,0,4
3,13.5,3042,3,2,1,0,145,1965,-37.7203,144.8755,3464,2,0,3
2,13.5,3042,2,1,1,272,84,1950,-37.7294,144.888,3464,2,0,1
3,13.5,3042,3,2,2,239,134,2009,-37.7218,144.8837,3464,2,1,1
3,13.5,3042,2,1,1,290,116,1980,-37.7273,144.8744,3464,2,0,1
2,13.5,3042,2,1,1,168,86,2011,-37.7215,144.8864,3464,2,2,4
6,13.5,3042,6,3,2,976,186,1980,-37.7239,144.8735,3464,2,0,3
2,13.5,3042,2,1,1,110,90,2015,-37.7216,144.871,3464,2,1,1
2,13.5,3042,2,1,1,141,73,2013,-37.7298,144.8883,3464,2,2,1
2,13.5,3042,2,1,1,120,94,2012,-37.7234,144.8792,3464,2,2,1
3,13.5,3042,3,1,6,1063,133,1975,-37.7249,144.8728,3464,2,0,0
3,13.5,3042,3,1,1,0,105,1950,-37.7217,144.8783,3464,2,0,1
3,13.5,3042,3,1,1,265,130,1993,-37.7302,144.8855,3464,2,2,1
3,13.5,3042,3,2,2,165,133,2009,-37.727,144.887,3464,2,1,0
3,13.5,3042,3,1,2,971,113,1960,-37.7186,144.876,3464,2,0,1
2,13.5,3042,2,1,1,612,100,1975,-37.7187,144.8765,3464,2,0,1
3,13.5,3042,3,2,5,612,174,1950,-37.7173,144.8796,3464,2,0,1
4,13.5,3042,5,3,4,531,309,1980,-37.7263,144.8679,3464,2,0,1
3,13.5,3042,3,3,2,555,192,1980,-37.7285,144.8694,3464,2,0,0
3,13.5,3042,3,2,2,422,126,1995,-37.7164,144.8792,3464,2,0,1
3,13.5,3042,2,2,1,161,101,2010,-37.7231,144.8802,3464,2,1,3
3,13.5,3042,3,2,1,293,102,1960,-37.72,144.8776,3464,2,1,3
3,13.5,3042,3,1,1,579,113,1975,-37.7226,144.8733,3464,2,0,1
4,13.5,3042,4,2,3,628,146,1975,-37.7256,144.8739,3464,2,0,1
